# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chrX	153030925	153039799	+	hsa_circ_0091771	8874	3909	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001163257	PLXNB3	Salzman2013
chr6	108230130	108246136	-	hsa_circ_0077559	16006	509	Huvec, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007214	SEC63	Salzman2013
chr18	659640	671451	+	hsa_circ_0046674	11811	599	Gm12878, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001071	TYMS	Salzman2013
chr13	103271071	103288742	+	hsa_circ_0030797	17671	1183	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003291	TPP2	Salzman2013
chr1	46769379	46775716	+	hsa_circ_0012332	6337	1057	A549	NA	ALT_DONOR, CDS, coding, intronic, OVCODE, OVEXON, UTR5	NM_006004	UQCRH	Salzman2013
chr11	68157348	68197168	+	hsa_circ_0023199	39820	2351	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002335	LRP5	Salzman2013
chr22	21370230	21380187	+	hsa_circ_0062407	9957	820	Hsmm	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005446	P2RX6	Salzman2013
chr19	41744374	41767671	+	hsa_circ_0051178	23297	3553	Huvec, Hsmm, Hepg2, H1hesc, Bj, Ag04450, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_021913	AXL	Salzman2013
chr11	73759249	73765716	-	hsa_circ_0023538	6467	405	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015531	C2CD3	Salzman2013
chr2	15601324	15644337	-	hsa_circ_0052766	43013	1454	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015909	NBAS	Salzman2013
chr15	59497598	59506513	-	hsa_circ_0035524	8915	428	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004998	MYO1E	Salzman2013
chr3	4418013	4461830	-	hsa_circ_0064030	43817	495	K562, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182760	SUMF1	Salzman2013
chr2	39507412	39583480	-	hsa_circ_0054195	76068	1560	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003618	MAP4K3	Salzman2013
chr10	103552595	103557911	-	hsa_circ_0019605	5316	366	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_012215	MGEA5	Salzman2013
chr6	159004985	159029782	+	hsa_circ_0003735	24797	728	Hs68_RNase, Hs68_control, Hsmm, Hepg2	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020823	TMEM181	Jeck2013, Salzman2013
chr7	6182562	6185879	+	hsa_circ_0079337	3317	437	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032172	USP42	Salzman2013
chr18	29426678	29444744	-	hsa_circ_0047358	18066	1247	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014939	TRAPPC8	Salzman2013
chr6	57372287	57499035	+	hsa_circ_0076905	126748	606	Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000947	PRIM2	Salzman2013
chr1	46034598	46035723	+	hsa_circ_0012239	1125	321	K562, Huvec, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006066	AKR1A1	Salzman2013
chr16	1664640	1682366	+	hsa_circ_0037318	17726	694	K562, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON	NM_020825	CRAMP1L	Salzman2013
chr7	123334768	123349277	-	hsa_circ_0082088	14509	709	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003941	WASL	Salzman2013
chr18	59757708	59763183	-	hsa_circ_0047850	5475	206	Hepg2, Helas3, Gm12878, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_176787	PIGN	Salzman2013
chr5	130857082	130883883	-	hsa_circ_0003544	26801	276	Hs68_RNase, Hs68_control, K562, Huvec, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164386	RAPGEF6	Jeck2013, Salzman2013
chr4	184588212	184605376	+	hsa_circ_0071506	17164	992	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_021942	C4orf41	Salzman2013
chr9	37086664	37121125	+	hsa_circ_0001859	34461	34461	HEK293, cd_19, neutr	SINE	ALT_DONOR, downstream_end, ncRNA	TCONS_l2_00028722	TCONS_l2_00028722	Memczak2013
chr10	12129533	12136270	+	hsa_circ_0017733	6737	836	Huvec, Hepg2, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018706	DHTKD1	Salzman2013
chr1	45341289	45363116	-	hsa_circ_0012188	21827	487	Nhek, K562, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020365	EIF2B3	Salzman2013
chr10	3201105	3201234	-	hsa_circ_0017509	129	129	Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001242307	PITRM1	Salzman2013
chr15	45965804	45968508	+	hsa_circ_0035121	2704	405	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021199	SQRDL	Salzman2013
chr14	52156408	52171653	+	hsa_circ_0031910	15245	680	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001042481	FRMD6	Salzman2013
chr14	32546188	32619239	+	hsa_circ_0031582	73051	4696	Nhek	Low_complexity	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_001030055	ARHGAP5	Salzman2013
chr6	136693638	136704919	-	hsa_circ_0077954	11281	374	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001198609	MAP7	Salzman2013
chr4	88106402	88116842	-	hsa_circ_0070392	10440	916	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_020803	KLHL8	Salzman2013
chr2	69297778	69379396	+	hsa_circ_0055030	81618	751	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032208	ANTXR1	Salzman2013
chr8	42317413	42330172	-	hsa_circ_0009161	12759	877	Hs68_RNase, Hs68_control, Nhek, Hepg2, H1hesc, Gm12878, Bj, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_006749	SLC20A2	Jeck2013, Salzman2013
chr1	39750754	39900304	+	hsa_circ_0011786	149550	10452	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_012090	MACF1	Salzman2013
chr1	154940970	154941090	-	hsa_circ_0014464	120	120	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001130040	SHC1	Salzman2013
chr6	10927472	10928683	+	hsa_circ_0075621	1211	176	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001040274	SYCP2L	Salzman2013
chr19	36120421	36128587	+	hsa_circ_0050621	8166	1446	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_024321	RBM42	Salzman2013
chr6	18139193	18143959	-	hsa_circ_0075775	4766	261	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000367	TPMT	Salzman2013
chr15	52179785	52194233	+	hsa_circ_0035294	14448	741	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014547	TMOD3	Salzman2013
chr3	48664063	48665471	-	hsa_circ_0065475	1408	328	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001040454	SLC26A6	Salzman2013
chr17	58275620	58289459	-	hsa_circ_0044926	13839	1330	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032582	USP32	Salzman2013
chr3	197677094	197682721	+	hsa_circ_0068766	5627	1154	K562	NA	ALT_ACCEPTOR, CDS, coding, intronic, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_000996	RPL35A	Salzman2013
chr15	91083270	91157720	+	hsa_circ_0036847	74450	481	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_022769	CRTC3	Salzman2013
chr13	60348322	60385057	-	hsa_circ_0004878	36735	292	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001042517	DIAPH3	Jeck2013
chr19	12799729	12802071	-	hsa_circ_0049546	2342	886	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_032301	FBXW9	Salzman2013
chr7	94034004	94051264	+	hsa_circ_0081095	17260	2079	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000089	COL1A2	Salzman2013
chr11	82917099	82922472	+	hsa_circ_0003661	5373	364	Hs68_RNase, Hs68_control, Hepg2	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182603	ANKRD42	Jeck2013, Salzman2013
chr2	62100136	62103369	-	hsa_circ_0001018	3233	348	cd_19, cd_34, Hs68_RNase, Hs68_control, K562, Helas3, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006430	CCT4	Jeck2013, Memczak2013, Salzman2013
chr1	235582787	235606226	+	hsa_circ_0017052	23439	1028	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001079515	TBCE	Salzman2013
chr22	37447778	37455478	+	hsa_circ_0063185	7700	634	Huvec, Hmec, H1hesc, Bj, A549, Nhlf, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_024681	KCTD17	Salzman2013
chr19	44235300	44237885	-	hsa_circ_0051360	2585	908	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_019108	SMG9	Salzman2013
chr11	35208378	35226187	+	hsa_circ_0021719	17809	915	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_000610	CD44	Salzman2013
chr3	133475674	133489416	+	hsa_circ_0067415	13742	996	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001063	TF	Salzman2013
chr10	94688095	94694187	+	hsa_circ_0019178	6092	252	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019053	EXOC6	Salzman2013
chr11	66372959	66373490	+	hsa_circ_0023008	531	422	K562, Huvec, Hsmm, Hepg2, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005125	CCS	Salzman2013
chr7	73631154	73635064	+	hsa_circ_0080542	3910	238	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032464	LAT2	Salzman2013
chr6	27106071	27106460	-	hsa_circ_0075900	389	389	K562, Gm12878	LTR	ANNOTATED, coding, OVERLAPTX, OVEXON, UTR3	NM_080593	HIST1H2BK	Salzman2013
chr18	9524591	9524753	+	hsa_circ_0046862	162	162	K562, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006788	RALBP1	Salzman2013
chr7	37172734	37172839	-	hsa_circ_0079888	105	105	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001206482	ELMO1	Salzman2013
chr4	25398285	25420120	+	hsa_circ_0069354	21835	1482	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_013367	ANAPC4	Salzman2013
chr13	114822707	114839312	-	hsa_circ_0031073	16605	16605	Hsmm, Bj, Ag04450	LINE	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_007368	RASA3	Salzman2013
chr1	19449326	19480433	-	hsa_circ_0010283	31107	3358	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020765	UBR4	Salzman2013
chr12	57571209	57577692	+	hsa_circ_0027190	6483	1733	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002332	LRP1	Salzman2013
chr9	139756910	139758323	-	hsa_circ_0089597	1413	754	K562, Hepg2, Helas3, H1hesc, Bj, Sknshra	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON, UTR3	NM_153200	EDF1	Salzman2013
chr16	89484691	89492069	-	hsa_circ_0000726	7378	7378	cd_19	None	ALT_ACCEPTOR, coding, INTERNAL, intronic, UTR5	NM_013275	ANKRD11	Memczak2013
chr3	132036210	132036420	+	hsa_circ_0067353	210	210	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_001099	ACPP	Salzman2013
chr2	48555699	48573890	+	hsa_circ_0007641	18191	693	Hs68_RNase, Hs68_control	DNA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_002158	FOXN2	Jeck2013
chr6	90393549	90410575	-	hsa_circ_0077323	17026	3476	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014611	MDN1	Salzman2013
chr10	95790439	95792009	+	hsa_circ_0019223	1570	1570	Hsmm, Hepg2, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_016341	PLCE1	Salzman2013
chr7	50846831	50848433	-	hsa_circ_0002650	1602	1602	Hs68_RNase, Hs68_control	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_001001555	GRB10	Jeck2013
chr22	36684772	36714370	-	hsa_circ_0063106	29598	3662	Huvec, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002473	MYH9	Salzman2013
chr2	32613817	32693851	+	hsa_circ_0053493	80034	5482	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016252	BIRC6	Salzman2013
chr22	23146276	23146284	+	hsa_circ_0062502	8	8	Gm12878	LINE	INTERGENIC	None	None	Salzman2013
chr17	17165279	17174121	-	hsa_circ_0042254	8842	464	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003653	COPS3	Salzman2013
chr8	101724589	101730508	-	hsa_circ_0085162	5919	779	K562, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002568	PABPC1	Salzman2013
chr3	27453132	27465643	-	hsa_circ_0002901	12511	616	Hs68_RNase, Hs68_control, Nhek, Bj, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003615	SLC4A7	Jeck2013, Salzman2013
chr14	93717808	93730339	-	hsa_circ_0033037	12531	780	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001002860	BTBD7	Salzman2013
chr12	100491142	100492319	-	hsa_circ_0027851	1177	331	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015054	UHRF1BP1L	Salzman2013
chr2	216184387	216198180	+	hsa_circ_0058068	13793	699	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004044	ATIC	Salzman2013
chr14	105814829	105818804	+	hsa_circ_0033595	3975	178	K562, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001100913	PACS2	Salzman2013
chr7	107638801	107638937	-	hsa_circ_0081944	136	136	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002291	LAMB1	Salzman2013
chr9	99113384	99122503	-	hsa_circ_0087621	9119	209	K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007001	SLC35D2	Salzman2013
chr20	36011021	36011189	+	hsa_circ_0060295	168	168	A549	SINE	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_005417	SRC	Salzman2013
chr14	24679553	24679974	-	hsa_circ_0007326	421	251	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014169	CHMP4A	Jeck2013
chr3	124515234	124515664	-	hsa_circ_0067074	430	430	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002213	ITGB5	Salzman2013
chr10	70206052	70225569	-	hsa_circ_0018525	19517	616	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001080449	DNA2	Salzman2013
chr9	114187697	114188108	-	hsa_circ_0088012	411	165	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001080398	KIAA0368	Salzman2013
chr13	100888095	100962162	+	hsa_circ_0030754	74067	829	H1hesc, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_000282	PCCA	Salzman2013
chr10	105795020	105809229	-	hsa_circ_0019921	14209	1455	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000494	COL17A1	Salzman2013
chrX	307968	323067	-	hsa_circ_0089778	15099	15099	Hepg2	NA	INTERGENIC	None	None	Salzman2013
chr2	198256697	198267550	-	hsa_circ_0057635	10853	2438	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_012433	SF3B1	Salzman2013
chr14	103470264	103474892	-	hsa_circ_0033466	4628	180	K562, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006035	CDC42BPB	Salzman2013
chr12	120651938	120653220	-	hsa_circ_0028871	1282	571	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001243756	PXN	Salzman2013
chr9	131073165	131084009	-	hsa_circ_0088775	10844	561	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015679	TRUB2	Salzman2013
chr14	106443162	106443179	-	hsa_circ_0033952	17	17	K562, Hepg2, H1hesc, Gm12878, Bj	LTR	INTERGENIC	None	None	Salzman2013
chr15	42968069	42973810	+	hsa_circ_0034842	5741	295	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020759	STARD9	Salzman2013
chr11	68173991	68193655	+	hsa_circ_0023207	19664	1836	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002335	LRP5	Salzman2013
chr7	69364271	70229991	+	hsa_circ_0080416	865720	1159	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015570	AUTS2	Salzman2013
chr20	25398740	25422412	+	hsa_circ_0004483	23672	283	Hs68_RNase, Hs68_control, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021067	GINS1	Jeck2013, Salzman2013
chr1	150618700	150669672	-	hsa_circ_0014039	50972	3171	Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_018178	GOLPH3L	Salzman2013
chr12	109196097	109205104	-	hsa_circ_0028084	9007	600	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018984	SSH1	Salzman2013
chr9	134308003	134308181	+	hsa_circ_0089199	178	178	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013318	PRRC2B	Salzman2013
chr22	50656117	50664618	-	hsa_circ_0063886	8501	3814	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_020461	TUBGCP6	Salzman2013
chr6	18186002	18205895	+	hsa_circ_0075784	19893	5517	K562, H1hesc, Gm12878	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_153042	KDM1B	Salzman2013
chr4	76878999	76903190	-	hsa_circ_0070018	24191	1488	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018115	SDAD1	Salzman2013
chr1	113196219	113214241	+	hsa_circ_0013534	18022	2193	Nhek, K562, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006135	CAPZA1	Salzman2013
