smiles,dose,freq,treatment_time,target_binding,immune_activation,immune_cell_activation,inflammation_risk,toxicity_risk,efficacy
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,67.206,0.3574,1469.3,0.8116,0.5705,0.4882,0.2176,0.3369,0.6135
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,159.809,0.342,1576.7,0.9191,0.5064,0.421,0.1367,0.1803,0.7533
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,14.047,0.9255,1436.3,0.8883,0.5849,0.528,0.0,0.1106,0.5695
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,258.502,1.0823,7535.8,0.8054,0.3408,0.302,0.4277,0.209,0.8848
N.N.[Pt]=O,72.759,0.2984,1530.4,0.3881,0.3141,0.266,0.2129,0.2434,0.3951
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,318.568,0.8144,3061.8,0.9669,0.4651,0.3817,0.0687,0.1173,0.8687
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,169.8,0.3081,2117.1,0.9146,0.7025,0.5022,0.2663,0.1252,0.7988
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,504.988,0.6993,2717.9,0.911,0.334,0.3004,0.0722,0.2785,0.7782
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,29.038,0.2998,1679.3,0.8438,0.4063,0.2459,0.1118,0.1791,0.5917
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,18.438,0.9856,4463.8,0.5627,0.2283,0.1191,0.0165,0.0,0.5167
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,604.037,1.9038,2804.6,0.9057,0.3987,0.4063,0.2479,0.1652,0.905
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1467.687,0.9137,2957.9,0.9321,0.5116,0.5084,0.3145,0.1125,0.8698
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,274.192,0.7757,3177.4,0.9407,0.3822,0.3266,0.0693,0.494,0.7692
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,36.169,0.9111,3898.3,0.5468,0.2906,0.2387,0.0766,0.041,0.5474
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,132.021,1.8142,3230.7,0.9343,0.3798,0.4394,0.2,0.162,0.8263
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,216.611,0.317,1355.2,0.9988,0.446,0.3516,0.2567,0.5103,0.7526
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,457.823,0.9679,9406.9,0.8428,0.4006,0.3969,0.6394,0.4075,0.811
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,115.434,0.6803,3155.6,0.8559,0.395,0.3181,0.0253,0.2749,0.7713
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,22.646,0.9079,3812.3,0.9352,0.2368,0.238,0.0916,0.0473,0.7072
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,321.589,1.9224,2682.4,0.8693,0.2983,0.2412,0.2883,0.3398,0.9371
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.13,1.0851,3932.9,1.0,0.205,0.1175,0.1044,0.0556,0.6757
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,546.206,0.0309,3886.8,0.9355,0.2536,0.2871,0.0634,0.0,0.8759
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,623.947,0.3603,1642.7,0.1113,0.5378,0.435,0.1188,0.2085,0.3656
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,272.294,1.0382,9303.2,0.786,0.4438,0.4236,0.4267,0.2112,0.8361
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,145.127,0.3088,1331.0,0.9266,0.3573,0.296,0.1582,0.2339,0.7169
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,188.999,0.3465,1592.0,0.9841,0.466,0.385,0.1539,0.1756,0.7945
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,584.027,0.9149,3240.6,0.9464,0.3763,0.2415,0.1361,0.0588,0.871
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,1201.912,0.3282,1443.1,0.1283,0.4048,0.3587,0.1568,0.5242,0.3937
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,69.129,0.3613,1486.2,0.8544,0.3508,0.2834,0.1794,0.321,0.6276
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,27.516,0.3096,1491.8,0.8332,0.3428,0.2139,0.1222,0.1119,0.5197
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,216.606,0.3036,1867.5,0.9024,0.6953,0.4974,0.2258,0.1557,0.7501
O=C1OC2NC(=O)NC2C1O.[Pt],594.172,0.3253,1663.4,0.3345,0.5599,0.4669,0.113,0.1507,0.5736
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.953,0.97,4326.4,0.9509,0.4112,0.3751,0.0919,0.234,0.7208
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,513.052,0.9068,7628.7,0.7907,0.5013,0.334,0.5926,0.4031,0.8187
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,241.269,0.9305,8125.1,0.8097,0.3466,0.3252,0.374,0.2084,0.7805
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.154,0.9846,4475.1,0.9791,0.2972,0.2317,0.1219,0.0737,0.7414
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,1120.305,0.3159,1438.6,0.1061,0.4107,0.3324,0.1302,0.4767,0.4015
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,253.319,1.0905,2922.5,0.9369,0.5355,0.4358,0.3582,0.2287,0.8138
O=C1OC2NC(=O)NC2C1O.[Pt],650.386,0.318,1670.6,0.2775,0.3674,0.3277,0.089,0.1728,0.4945
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,20.917,0.9892,3133.9,0.9789,0.5481,0.4512,0.4452,0.2939,0.7254
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,62.462,0.7751,2537.3,0.9155,0.4456,0.3597,0.0441,0.1343,0.7191
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.886,1.0107,4131.6,0.9296,0.6076,0.4842,0.1469,0.4427,0.6341
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2402.795,1.9042,2728.7,0.4818,0.3523,0.2879,0.2943,0.1298,0.6868
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,87.496,0.9968,1725.4,0.5843,0.5775,0.4983,0.0887,0.1934,0.5919
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,125.911,0.3052,1435.7,0.7858,0.423,0.3551,0.3329,0.611,0.6756
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,56.816,0.9737,1344.3,0.9122,0.3962,0.3083,0.1057,0.4375,0.6405
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,97.332,0.9447,1368.4,0.5375,0.4655,0.4146,0.1008,0.2192,0.5142
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,49.185,0.298,1524.9,0.7784,0.4385,0.4491,0.0857,0.1158,0.549
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,27.295,1.0898,4652.4,1.0,0.2917,0.1861,0.0974,0.0546,0.6488
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,29.909,0.9024,4393.2,0.9892,0.1596,0.0997,0.0471,0.0411,0.7554
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,554.77,0.0323,3714.6,0.883,0.2731,0.134,0.048,0.0157,0.7988
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,204.949,0.3079,1733.4,0.8931,0.3196,0.2801,0.1524,0.2023,0.8619
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,31.725,0.3136,1571.4,0.8225,0.526,0.5149,0.0587,0.1636,0.4755
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,12.58,0.9629,4675.0,1.0,0.2406,0.3252,0.0685,0.0259,0.7329
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,256.995,1.8129,4194.1,0.9139,0.4974,0.4776,0.0745,0.1661,0.9387
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.852,1.0168,4624.7,1.0,0.2595,0.2117,0.1676,0.0621,0.6272
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,496.122,0.0342,4536.4,0.9797,0.2755,0.166,0.0478,0.0525,0.8222
O=C1OC2NC(=O)NC2C1O.[Pt],619.153,0.3168,1315.8,0.2908,0.454,0.3577,0.0413,0.161,0.5182
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,318.482,2.1196,2746.3,0.9098,0.4596,0.3929,0.1276,0.1002,0.9724
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.403,1.0124,4604.8,1.0,0.2272,0.1794,0.1076,0.0504,0.6923
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,47.09,0.9396,4415.4,0.935,0.2407,0.2367,0.1488,0.1015,0.8181
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1301.097,0.6427,1403.2,0.9266,0.347,0.3222,0.0498,0.1614,0.8991
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,126.465,0.7043,3044.5,0.917,0.5293,0.5207,0.1304,0.2418,0.7548
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,2.017,0.963,4078.1,0.9878,0.4226,0.4337,0.1483,0.4266,0.6632
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,403.485,0.3483,2378.8,0.9059,0.8507,0.7402,0.3664,0.2595,0.9021
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.152,1.0444,3718.7,0.984,0.4053,0.3653,0.0687,0.2265,0.6497
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,653.945,1.94,2588.9,0.9113,0.5742,0.4279,0.2293,0.1688,0.9186
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,599.882,0.0344,3733.4,0.8969,0.2495,0.1566,0.0455,0.0484,0.8268
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,147.037,2.0206,2711.1,0.8996,0.453,0.4912,0.0823,0.0444,0.9151
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,57.926,0.3487,1474.0,0.784,0.437,0.3425,0.2297,0.2757,0.5969
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.958,1.0574,4855.4,1.0,0.1907,0.1431,0.1617,0.0787,0.7114
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,0.941,1.0423,3695.9,0.9359,0.1208,0.1046,0.1163,0.0238,0.6861
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,52.236,0.3099,1691.8,0.9711,0.4611,0.3305,0.0138,0.1537,0.6631
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1381.659,0.9835,2853.0,0.8805,0.526,0.3702,0.288,0.113,0.9129
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,2276.107,0.6154,1325.2,0.8954,0.3414,0.3257,0.1213,0.3955,0.8327
N.N.[Pt]=O,164.433,0.3332,1702.5,0.4166,0.4044,0.4113,0.2601,0.5057,0.4977
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,144.126,0.6807,3084.5,0.9212,0.3766,0.4013,0.0333,0.2353,0.7628
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,13.212,0.9273,4181.9,0.9864,0.1772,0.1694,0.0311,0.0527,0.7021
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,17.229,1.0202,3827.1,0.4746,0.301,0.2582,0.064,0.0058,0.4751
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,69.081,0.3439,1544.7,0.8176,0.461,0.3997,0.222,0.2418,0.7064
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,4.961,1.032,4449.2,1.0,0.1335,0.116,0.1912,0.1447,0.7115
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,127.038,2.1488,2730.7,0.9022,0.4121,0.4392,0.1997,0.2179,0.8967
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,585.648,0.0325,3676.7,0.9218,0.2138,0.2216,0.0761,0.0523,0.8228
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,109.005,0.3144,1434.5,0.7158,0.4322,0.3332,0.1059,0.2057,0.6811
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,1.146,0.9353,3899.2,1.0,0.3181,0.2654,0.0809,0.0213,0.6807
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,14.802,1.036,1186.9,0.8478,0.4554,0.4718,0.035,0.0931,0.5422
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,106.722,0.3174,1291.7,0.7734,0.5654,0.4909,0.1383,0.2756,0.5615
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,578.795,1.9883,4523.0,0.9094,0.3631,0.3774,0.1007,0.3581,0.9686
O=C1OC2NC(=O)NC2C1O.[Pt],651.456,0.3095,1528.7,0.3021,0.3458,0.2461,0.0789,0.1666,0.443
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,96.549,0.3349,1500.7,0.7907,0.4171,0.4146,0.1384,0.2345,0.6734
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,236.531,1.0359,9847.4,0.8063,0.3743,0.3146,0.3293,0.1985,0.8982
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,317.494,2.1313,4724.6,0.9402,0.4037,0.3291,0.0801,0.1668,0.9028
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,154.526,2.0915,2492.5,0.9185,0.6031,0.5265,0.0775,0.0338,0.8905
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,53.444,0.35,1342.5,0.8673,0.3668,0.2607,0.0697,0.1454,0.7142
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,1106.729,0.7117,3075.2,0.9222,0.4647,0.4766,0.1481,0.577,0.8138
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.139,0.9288,4321.2,0.9907,0.327,0.2147,0.1565,0.2112,0.7245
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,50.749,1.0726,4049.2,0.997,0.1895,0.1765,0.1998,0.0793,0.8338
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,322.22,0.9761,2591.8,0.9306,0.3273,0.2993,0.3492,0.2004,0.9093
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,639.285,1.8235,2988.3,0.9023,0.5329,0.6132,0.1676,0.1796,0.9254
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,329.515,0.334,1528.6,0.9513,0.5241,0.4125,0.2224,0.4043,0.795
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,207.212,1.0589,8910.0,0.8624,0.4651,0.3998,0.4056,0.2191,0.8314
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.196,1.0826,3716.0,0.9647,0.4643,0.421,0.1035,0.2042,0.6487
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.022,1.0244,4463.0,0.9652,0.2262,0.1498,0.0683,0.0424,0.6856
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,195.841,0.349,2455.1,0.9229,0.7219,0.5874,0.2793,0.17,0.7814
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,1079.65,0.0334,4863.2,0.913,0.3232,0.2861,0.0912,0.0815,0.8086
N.N.[Pt]=O,148.502,0.342,1646.4,0.471,0.3958,0.3471,0.3092,0.4892,0.4413
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,108.83,0.9532,1425.5,0.5805,0.489,0.3988,0.057,0.2141,0.6354
O=C1OC2NC(=O)NC2C1O.[Pt],709.951,0.3492,1537.7,0.2912,0.5601,0.5159,0.0903,0.1967,0.4614
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.46,1.0655,4298.5,0.9456,0.431,0.2877,0.0231,0.107,0.7753
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,314.366,0.9175,3159.1,0.9197,0.546,0.3871,0.3807,0.2031,0.9111
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,63.126,0.2985,1411.6,0.8141,0.4586,0.477,0.1631,0.3191,0.6094
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,24.307,0.9566,1235.8,0.8945,0.4646,0.332,0.1014,0.2067,0.6504
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,42.407,0.9098,3976.0,0.607,0.2266,0.192,0.0891,0.0216,0.5222
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1385.016,0.9307,2723.1,0.9609,0.3521,0.2338,0.3329,0.1074,0.8674
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,15.103,0.9004,1484.5,0.8173,0.4448,0.3245,0.05,0.1022,0.5888
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,207.132,0.3593,1609.5,0.9832,0.3054,0.261,0.1595,0.2493,0.7136
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,22.586,1.0326,3825.8,0.9623,0.234,0.3005,0.1103,0.0318,0.7329
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,113.147,1.0364,1382.0,0.594,0.5771,0.4561,0.0892,0.2286,0.5608
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,202.216,0.3329,1687.0,0.8916,0.3629,0.41,0.1909,0.2573,0.7292
