smiles,dose,freq,efficacy
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,115.434,0.6803,0.7713
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,22.646,0.9079,0.7072
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,321.589,1.9224,0.9371
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.13,1.0851,0.6757
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,546.206,0.0309,0.8759
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,623.947,0.3603,0.3656
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,272.294,1.0382,0.8361
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,145.127,0.3088,0.7169
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,188.999,0.3465,0.7945
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,584.027,0.9149,0.871
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,1201.912,0.3282,0.3937
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,69.129,0.3613,0.6276
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,27.516,0.3096,0.5197
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,216.606,0.3036,0.7501
O=C1OC2NC(=O)NC2C1O.[Pt],594.172,0.3253,0.5736
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.953,0.97,0.7208
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,513.052,0.9068,0.8187
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,241.269,0.9305,0.7805
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.154,0.9846,0.7414
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,1120.305,0.3159,0.4015
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,253.319,1.0905,0.8138
O=C1OC2NC(=O)NC2C1O.[Pt],650.386,0.318,0.4945
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,20.917,0.9892,0.7254
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,62.462,0.7751,0.7191
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.886,1.0107,0.6341
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2402.795,1.9042,0.6868
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,87.496,0.9968,0.5919
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,125.911,0.3052,0.6756
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,56.816,0.9737,0.6405
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,97.332,0.9447,0.5142
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,49.185,0.298,0.549
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,27.295,1.0898,0.6488
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,29.909,0.9024,0.7554
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,554.77,0.0323,0.7988
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,204.949,0.3079,0.8619
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,31.725,0.3136,0.4755
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,12.58,0.9629,0.7329
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,256.995,1.8129,0.9387
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.852,1.0168,0.6272
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,496.122,0.0342,0.8222
O=C1OC2NC(=O)NC2C1O.[Pt],619.153,0.3168,0.5182
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,318.482,2.1196,0.9724
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,2.403,1.0124,0.6923
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,47.09,0.9396,0.8181
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1301.097,0.6427,0.8991
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,126.465,0.7043,0.7548
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,2.017,0.963,0.6632
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,403.485,0.3483,0.9021
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.152,1.0444,0.6497
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,653.945,1.94,0.9186
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,599.882,0.0344,0.8268
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,147.037,2.0206,0.9151
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,57.926,0.3487,0.5969
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.958,1.0574,0.7114
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,0.941,1.0423,0.6861
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,52.236,0.3099,0.6631
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1381.659,0.9835,0.9129
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,2276.107,0.6154,0.8327
N.N.[Pt]=O,164.433,0.3332,0.4977
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,144.126,0.6807,0.7628
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,13.212,0.9273,0.7021
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,17.229,1.0202,0.4751
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,69.081,0.3439,0.7064
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,4.961,1.032,0.7115
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,127.038,2.1488,0.8967
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,585.648,0.0325,0.8228
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,109.005,0.3144,0.6811
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,1.146,0.9353,0.6807
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,14.802,1.036,0.5422
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,106.722,0.3174,0.5615
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,578.795,1.9883,0.9686
O=C1OC2NC(=O)NC2C1O.[Pt],651.456,0.3095,0.443
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,96.549,0.3349,0.6734
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,236.531,1.0359,0.8982
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,317.494,2.1313,0.9028
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,154.526,2.0915,0.8905
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,53.444,0.35,0.7142
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,1106.729,0.7117,0.8138
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.139,0.9288,0.7245
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,50.749,1.0726,0.8338
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,322.22,0.9761,0.9093
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,639.285,1.8235,0.9254
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,329.515,0.334,0.795
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,207.212,1.0589,0.8314
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.196,1.0826,0.6487
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,1.022,1.0244,0.6856
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,195.841,0.349,0.7814
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,1079.65,0.0334,0.8086
N.N.[Pt]=O,148.502,0.342,0.4413
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,108.83,0.9532,0.6354
O=C1OC2NC(=O)NC2C1O.[Pt],709.951,0.3492,0.4614
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.46,1.0655,0.7753
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,314.366,0.9175,0.9111
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,63.126,0.2985,0.6094
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,24.307,0.9566,0.6504
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,42.407,0.9098,0.5222
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1385.016,0.9307,0.8674
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,15.103,0.9004,0.5888
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,207.132,0.3593,0.7136
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,22.586,1.0326,0.7329
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,113.147,1.0364,0.5608
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,202.216,0.3329,0.7292
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,535.897,0.0348,0.8216
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,339.715,0.922,0.9459
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,554.784,0.3268,0.3137
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,2526.91,0.6089,0.8386
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,28.986,0.9736,0.6043
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,3.009,0.636,0.6059
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,67.163,0.7664,0.7142
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,156.537,1.9454,0.9217
N.N.[Pt]=O,40.966,0.3244,0.3805
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,9.446,0.9846,0.6733
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,0.841,0.995,0.6702
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,20.928,1.0124,0.7158
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,62.916,0.3342,0.5987
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.991,1.0338,0.6764
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,48.269,0.9611,0.7881
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,419.663,0.03,0.9491
O=C1OC2NC(=O)NC2C1O.[Pt],1143.472,0.3171,0.4551
O=C1OC2NC(=O)NC2C1O.[Pt],693.712,0.3446,0.5753
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,333.363,1.87,0.9277
CCCCC(=O)NC1=CC(=C(C=C1)C2=CC(=O)N3C2=CC=C3F)F,276.547,2.1259,0.9262
CC1=NC(=CN1C2=CC=C(C=C2)C#N)C3=CC=C(C=C3)C#N,5.249,1.0603,0.6978
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,315.633,0.9683,0.8885
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1023.266,0.9286,0.8672
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2598.663,2.0114,0.6706
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,570.815,1.974,0.8978
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,47.268,0.3261,0.5527
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,61.266,0.3451,0.5738
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,22.256,1.0734,0.4627
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1406.464,0.978,0.8788
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,664.289,0.7057,0.8399
ClCCN(CCCl)P(=O)(O)OCC1CCN(C)CC1,619.022,0.3549,0.4337
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,97.796,0.336,0.6614
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,21.78,1.0351,0.7362
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,109.7,0.3069,0.7374
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,93.084,0.3043,0.6019
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,107.507,0.3537,0.763
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,1.884,1.0896,0.5932
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,56.73,0.3511,0.6256
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.859,0.9236,0.5694
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,145.508,0.7224,0.7859
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,28.366,0.9292,0.7006
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2424.556,2.1633,0.7171
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,15.498,1.0929,0.6696
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,376.2,0.3021,0.8262
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,334.66,1.0853,0.817
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,29.956,0.9032,0.795
N.N.[Pt]=O,64.312,0.3223,0.4008
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,659.245,1.8036,0.9469
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2600.951,2.0139,0.6195
CC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)O)CC4CCCC4=O,494.358,0.0318,0.8487
CC1=NC(=CN1C2=CC=CC=C2)C3=CC=CC=C3C#N,0.456,0.9697,0.6757
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,98.799,0.3539,0.6615
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,2607.616,0.7341,0.8244
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,129.133,0.3064,0.6664
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,90.715,0.3359,0.6823
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1312.748,1.0305,0.9169
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,189.202,0.3415,0.7111
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,185.654,0.3477,0.8496
N.N.[Pt]=O,85.893,0.2972,0.4598
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,10.627,1.0628,0.6393
CC1C2C(C3=CC4=C(C=C3C2O)OCO4)C5=CC6=C(C=C5O)OCO6,49.907,1.0842,0.5274
N.N.[Pt]=O,162.417,0.3113,0.4354
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,87.418,0.3071,0.7069
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,685.681,0.7901,0.8013
CCCCC(=O)NC1=NC(=O)C(CF)=CN1,2119.061,2.1159,0.6992
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,24.202,1.0628,0.7861
